--------------------------------------------------------------------------------
[Feb 04, 2025 6:18:10.7 PM GMT:ERROR:refill_confirmation_tokens.cc(197)] Failed to get signed tokens
[Apr 11, 2025 6:14:28.3 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 6:26:38.9 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 6:35:31.7 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 7:14:44.6 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 7:26:55.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 7:30:31.1 PM GMT:ERROR:rewards_service_impl.cc(294)] Restarting engine process after disconnect
--------------------------------------------------------------------------------
[Apr 11, 2025 7:36:44.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 8:15:00.8 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 8:27:11.3 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 8:37:00.6 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 9:15:17.1 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 9:27:27.5 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 9:37:16.9 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 10:15:33.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 10:27:43.7 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 10:37:33.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 11:15:49.5 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 11:27:59.8 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 11:37:49.4 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 12:16:05.9 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 12:28:16.1 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 12:38:05.8 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 1:16:22.1 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 1:28:32.3 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 1:38:22.1 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 2:16:38.3 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 2:28:48.4 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 2:38:38.2 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 3:16:54.4 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 3:29:04.7 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 3:38:54.5 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 4:17:10.6 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 4:29:20.9 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 4:39:10.9 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 5:17:26.9 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 5:29:37.2 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 5:39:27.1 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 12, 2025 6:17:43.1 AM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
